0,S&P500
2008-09-12,0.0021216124254400002
2008-09-15,-0.0471358951826
2008-09-16,0.017523266538099998
2008-09-17,-0.0471407382993
2008-09-18,0.0433417791576
2008-09-19,0.0402566079021
2008-09-22,-0.0382366064315
2008-09-23,-0.0156326371687
2008-09-24,-0.00197774822844
2008-09-25,0.0196564547547
2008-09-26,0.0033824575331999995
2008-09-29,-0.0880677837579
2008-09-30,0.0541747256919
2008-10-01,-0.00454405157927
2008-10-02,-0.0402907687803
2008-10-03,-0.0135064795204
2008-10-06,-0.038517871601
2008-10-07,-0.057394809298999996
2008-10-08,-0.011332724370899999
2008-10-09,-0.0761670761671
2008-10-10,-0.0117592755407
2008-10-13,0.11580036031199999
2008-10-14,-0.0053221707280600005
2008-10-15,-0.09034979609419999
2008-10-16,0.042507490306699994
2008-10-17,-0.006212820810840001
2008-10-20,0.0476848652384
2008-10-21,-0.0307996752588
2008-10-22,-0.061012512433900004
2008-10-23,0.012634090858400001
2008-10-24,-0.0345112376254
2008-10-27,-0.0317643167535
2008-10-28,0.10789002497300001
2008-10-29,-0.0110790953844
2008-10-30,0.025803954456000002
2008-10-31,0.0153654267417
2008-11-03,-0.00252903225806
2008-11-04,0.0408258304874
2008-11-05,-0.0526771066368
2008-11-06,-0.0502639671694
2008-11-07,0.0288546547609
2008-11-10,-0.012653197134200002
2008-11-11,-0.022040665353900004
2008-11-12,-0.051893876188900005
2008-11-13,0.06921271852630001
2008-11-14,-0.041699129805
2008-11-17,-0.0258104409761
2008-11-18,0.00983837790185
2008-11-19,-0.0611556010802
2008-11-20,-0.0671229140321
2008-11-21,0.06324756791240001
2008-11-24,0.0647225729035
2008-11-25,0.00655075662413
2008-11-26,0.035328147050900004
2008-11-28,0.009643114635899999
2008-12-01,-0.0892952780505
2008-12-02,0.039940701535099994
2008-12-03,0.025836170638900004
2008-12-04,-0.0293084043457
2008-12-05,0.0364993729443
2008-12-08,0.038387343477099996
2008-12-09,-0.023117511267499998
2008-12-10,0.011894178941600001
2008-12-11,-0.028524087006799998
2008-12-12,0.00702846873247
2008-12-15,-0.0126857103884
2008-12-16,0.0513602818426
2008-12-17,-0.00959285135461
2008-12-18,-0.0211627341279
2008-12-19,0.00293692391108
2008-12-22,-0.018302022795900003
2008-12-23,-0.009717425972030002
2008-12-24,0.0057810834607700005
2008-12-26,0.005356217243560001
2008-12-29,-0.0038725939505
2008-12-30,0.024407075981700003
2008-12-31,0.014158358034700001
2009-01-02,0.0316080819264
2009-01-05,-0.0046683837733400005
2009-01-06,0.00781713299908
2009-01-07,-0.0300096287579
2009-01-08,0.0033971212706100005
2009-01-09,-0.021303023974099996
2009-01-12,-0.0225641601617
2009-01-13,0.0017580952818699999
2009-01-14,-0.0334598928641
2009-01-15,0.0013291875341199999
2009-01-16,0.007561571100100002
2009-01-20,-0.052816073025
2009-01-21,0.0434912197909
2009-01-22,-0.0151623345711
